#POSX POSY POSZ VELX VELY VELZ ID MASS U RHO HSML 
-0.251063 -0.00352645 -0.251063 0.0740414 -0.12904 0.0740414 235 0.000679348 0.49117 1.07014 0.197129 
-0.385655 -0.0174406 -0.202338 0.0644239 -0.0350949 0.073791 234 0.000679348 0.42853 0.50901 0.252402 
-0.299085 -0.0671344 -0.140355 0.032219 0.0140223 0.0111806 350 0.000679348 0.575686 1.15691 0.190645 
-0.371058 -0.0348636 -0.0780468 -0.054968 -0.0413956 0.103062 494 0.000679348 0.436861 0.794007 0.217503 
-0.372365 -0.0790246 -0.042489 -0.053162 0.088773 -0.05315 632 0.000679348 0.427873 0.767709 0.21988 
-0.29995 -0.139495 -0.0653565 0.0199019 0.0215826 0.0237029 618 0.000679348 0.575191 1.15492 0.190722 
-0.385159 -0.201197 -0.0173184 0.0641433 0.0851028 -0.0340731 762 0.000679348 0.429982 0.511849 0.251937 
-0.368983 -0.195005 -0.144183 0.0593741 0.0406684 0.0267065 337 0.000679348 0.395728 0.488007 0.254719 
-0.369287 -0.144839 -0.194265 0.0594516 0.0265294 0.0415434 467 0.000679348 0.395316 0.487062 0.254842 
-0.525452 -0.115293 -0.140034 0.393097 0.0683199 0.146245 493 0.000679348 0.271998 0.183772 0.351483 
-0.525474 -0.140084 -0.115302 0.393093 0.145896 0.0685636 631 0.000679348 0.271867 0.183626 0.351556 
-0.334669 -0.0835479 -0.334669 0.158738 0.191395 0.158738 109 0.000679348 0.424463 0.34634 0.28529 
-0.363507 -0.196134 -0.378419 0.346224 0.199403 0.173497 314 0.000679348 0.2596 0.203307 0.343001 
-0.378419 -0.196134 -0.363507 0.173497 0.199403 0.346224 92 0.000679348 0.2596 0.203307 0.343001 
-0.526592 -0.318474 -0.318434 0.253624 0.0820748 0.0827486 479 0.000679348 0.1465 0.0746072 0.478352 
-0.318434 -0.318474 -0.526592 0.0827486 0.0820748 0.253624 3 0.000679348 0.1465 0.0746072 0.478352 
-0.31858 -0.526691 -0.31858 0.0820338 0.253826 0.0820338 433 0.000679348 0.146378 0.0745536 0.478509 
-0.378073 -0.363187 -0.195676 0.179636 0.345725 0.201166 180 0.000679348 0.259625 0.203178 0.342773 
-0.363041 -0.378292 -0.195393 0.347608 0.176125 0.206146 198 0.000679348 0.258804 0.203218 0.342752 
-0.332975 -0.334783 -0.0839119 0.162011 0.156858 0.185072 445 0.000679348 0.42751 0.348085 0.284225 
-0.144543 -0.526791 -0.110354 0.125236 0.385059 0.0956464 582 0.000679348 0.270118 0.181718 0.353111 
-0.205766 -0.384512 -0.017769 0.0551035 0.0658556 -0.0360133 752 0.000679348 0.427398 0.503259 0.252719 
-0.163008 -0.373535 -0.171711 0.00283674 0.0439621 0.0855198 297 0.000679348 0.402945 0.492677 0.255804 
-0.171711 -0.373535 -0.163008 0.0855198 0.0439621 0.00283674 438 0.000679348 0.402945 0.492677 0.255804 
-0.017769 -0.384512 -0.205766 -0.0360133 0.0658556 0.0551035 183 0.000679348 0.427398 0.503259 0.252719 
-0.0710994 -0.299138 -0.140559 -0.00208996 0.0251698 0.007901 298 0.000679348 0.569734 1.13771 0.19158 
-0.140559 -0.299138 -0.0710994 0.007901 0.0251698 -0.00208996 588 0.000679348 0.569734 1.13771 0.19158 
-0.0826425 -0.370293 -0.00234999 0.0528261 -0.0306866 -0.308301 589 0.000679348 0.44225 0.807557 0.217027 
-0.00234999 -0.370293 -0.0826425 -0.308301 -0.0306866 0.0528261 440 0.000679348 0.44225 0.807557 0.217027 
-0.110354 -0.526791 -0.144543 0.0956464 0.385059 0.125236 434 0.000679348 0.270118 0.181718 0.353111 
-0.0839119 -0.334783 -0.332975 0.185072 0.156858 0.162011 86 0.000679348 0.42751 0.348085 0.284225 
-0.195393 -0.378292 -0.363041 0.206146 0.176125 0.347608 100 0.000679348 0.258804 0.203218 0.342752 
-0.195676 -0.363187 -0.378073 0.201166 0.345725 0.179636 304 0.000679348 0.259625 0.203178 0.342773 
-0.0481441 -0.599154 -0.321361 0.0650274 0.253992 0.146608 174 0.000679348 0.139803 0.0773546 0.473161 
-0.321361 -0.599154 -0.0481441 0.146608 0.253992 0.0650274 437 0.000679348 0.139803 0.0773546 0.473161 
-0.372015 -1.07387 -0.222874 -0.0234509 -0.0176383 0.00367011 581 0.000679348 0.0471577 0.0103418 0.922966 
-0.222874 -1.07387 -0.372015 0.00367011 -0.0176383 -0.0234509 293 0.000679348 0.0471577 0.0103418 0.922966 
-0.11558 -0.683415 -0.683409 -0.0969136 0.130341 0.130326 90 0.000679348 0.0610446 0.0178452 0.772142 
-0.371278 -0.627951 -1.02843 -0.0454053 -0.0701332 -0.106889 25 0.000679348 0.0426822 0.0082746 0.995542 
-0.371278 -1.02844 -0.627953 -0.0454062 -0.106904 -0.0701526 173 0.000679348 0.0426917 0.00827738 0.995419 
-0.721556 -0.721552 -0.721556 -0.0514991 -0.0514907 -0.0514991 188 0.000679348 0.0301203 0.00783225 1.01359 
-0.627953 -1.02844 -0.371278 -0.0701526 -0.106904 -0.0454062 295 0.000679348 0.0426917 0.00827738 0.995419 
-0.683409 -0.683415 -0.11558 0.130326 0.130341 -0.0969136 1051 0.000679348 0.0610446 0.0178452 0.772142 
-1.02843 -0.627951 -0.371278 -0.106889 -0.0701332 -0.0454053 313 0.000679348 0.0426822 0.0082746 0.995542 
-1.07386 -0.372049 -0.222877 -0.0176133 -0.0234676 0.00366409 617 0.000679348 0.0471288 0.0103324 0.923251 
